Latitude,Longitude,Depth,Month,temperature,si,phosphate,din,o2,mld,DIC,irradiance,chlor_a,Acanthoica acanthifera,Acanthoica quattrospina,Algirosphaera robusta,Alisphaera capulata type,Alisphaera extenta type,Alisphaera unicornis POL,Alisphaera unicornis type,Calcidiscus leptoporus,Calcidiscus leptoporus HOL,Calciopappus rigidus ,Calciosolenia brasiliensis,Calciosolenia murrayi,Calicasphaera blokii,Calicasphaera concava,Calicasphaera diconstricta,Calyptrosphaera heimdalae,Calyptrosphaera type,Ceratolithus cristatus,Coccolithus pelagicus,Coccolithus pelagicus HOL,Corisphaera gracilis,Corisphaera spp.,Corisphaera tyrrheniensis,Coronosphaera mediterranea,Cyrtosphaera aculeata,Discosphaera tubifera,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa ornata,Gephyrocapsa parvula,Gladiolithus flabellatus,Helicosphaera HOL type,Helicosphaera carteri,Helladosphaera cornifera,Holococcolithophora -flat type,Homozygosphaera spinosa,Homozygosphaera spp.,Homozygosphaera triarcha,Hymenomonas lacuna,Michaelsarsia adriaticus,Michaelsarsia elegans,Ohiaster hydroideus,Oolithotus antillarum,Oolithotus fragilis,Ophiaster formosus,Ophiaster hydroideus,Ophiaster minimus,Ophiaster reductus,Palusphaera vandelii,Pappamonas type,Papposphaera lepida,Pontosphaera type,Poritectolithus maximus,Poritectolithus poritectum,Pseudowigwamma scenozonion,Reticulofenestra sessilis,Rhabdosphaera clavigera,Rhabdosphaera xiphos,Rhabdosphaera xiphos COMB,Scyphosphaera apsteinii,Scyphosphaera apsteinii HOL,Solisphaera type,Sphaerocalyptra type,Syracosphaera HOL (Anthosphaera type),Syracosphaera anthos HOL,Syracosphaera anthos type,Syracosphaera arethusae COMB,Syracosphaera arethusae HOL,Syracosphaera aurisinae HOL type,Syracosphaera bannockii COMB,Syracosphaera bannockii type,Syracosphaera borealis type,Syracosphaera dilatata type,Syracosphaera halldalii HOL,Syracosphaera halldalii type,Syracosphaera histrica,Syracosphaera lamina type,Syracosphaera laminated type,Syracosphaera mediterranea HOL type,Syracosphaera molischii type,Syracosphaera nodosa type,Syracosphaera noroitica type,Syracosphaera orbiculus HOL,Syracosphaera prolongata type,Syracosphaera pulchra,Syracosphaera pulchra COMB,Syracosphaera pulchra HOL,Syracosphaera rotula type,Syracosphaera strigilis COMB,Tergestiella adriatica,Tetralithoides quadrilaminata,Turrilithus latericioides,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera anulus,Umbilicosphaera anulus ,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae,Wigwamma antarctica,Wigwamma triradiata,Zygosphaera type,flat dimorphic,fried egg monomorphic,rare,undefined  Canistrolithus,undefined Acanthoica,undefined Algirosphaera,undefined Alisphaera,undefined Calciopappus,undefined Calciosolenia,undefined Ceratolithus,undefined Cyrtosphaera,undefined Ericiolus,undefined Gephyrocapsa,undefined Helicosphaera,undefined Hymenomonas,undefined Jomonlithus,undefined Michaelsarsia,undefined Oolithotus,undefined Ophiaster,undefined Palusphaera,undefined Papposphaera,undefined Polycrater,undefined Rhabdosphaera spp.,undefined Scyphosphaera spp.,undefined Syracolithus,undefined Syracosphaera,undefined Turrisphaera spp.,undefined Umbellosphaera,undefined Umbilicosphaera,undefined Wigwamma spp.,undefined hetero,undefined holo,undefined other,FID
-63.5,175.5,0,1.0,2.1433310073331455,12.61675523363508,1.4025615742719635,22.61774288519827,325.2871336692457,72.82765445952957,2136.1477103354578,27.21328524489653,0.3241232335567474,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,96109.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,ANTA
-62.5,-141.5,15,12.0,-0.0921445929529024,43.6357754983746,1.765769012207516,24.860415946180623,353.2015300268215,104.26003439056394,2150.2308998735493,12.698265501238373,0.2793090343475342,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-62.5,-141.5,35,12.0,-0.1671246684785939,42.49528202135844,1.7102190135573103,25.097068444555013,354.1099841706669,104.26003439056394,2152.0923599001853,4.680783115889245,0.2793090343475342,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,796.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-62.5,-141.5,55,12.0,-0.4251701558714692,42.36224755845871,1.724377352292606,25.18759361298506,354.28633346533354,104.26003439056394,2159.0381735060496,1.725411283600671,0.2793090343475342,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1180.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-62.5,-141.5,95,12.0,-1.0503779753703315,45.69781972681423,1.8004206945086183,25.34554521809101,344.3569633323048,104.26003439056394,2179.939586337591,0.2344449403177296,0.2793090343475342,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-62.5,-141.5,125,12.0,-0.7950716245068259,60.57533113596237,1.9052794894698664,30.00009095765845,306.55130795037485,104.26003439056394,2199.536236956776,0.0338741311683476,0.2793090343475342,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-62.5,-65.5,0,2.0,2.4304835703038705,24.277545639228045,1.5876543088362283,23.40150453575048,338.02011942399906,48.70929904469775,2131.270362058559,24.029323616933404,0.1173578724265098,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,220.5,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,APLR
-62.5,-65.5,45,2.0,1.3116812442946375,29.371010603060743,1.7611955069151974,24.269524675977408,334.1642719678034,48.70929904469775,2156.685080098858,5.654162795012403,0.1173578724265098,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,30988.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,APLR
-62.5,-65.5,95,2.0,-0.3057026286644638,44.61131380883919,2.070320493076262,29.17357336738933,299.89479760393885,48.70929904469775,2196.6272590422327,1.2366356919415602,0.1173578724265098,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,5812.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,400.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,APLR
-62.5,-64.5,0,2.0,2.3406462353937734,26.874533987413134,1.5870553808041752,22.81306085664646,338.9176165933053,48.53941203474848,2134.1080657119714,23.63356941256552,0.1073870435357093,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,455.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,APLR
